idade	hdom	IS
18,00	20,03	20,0
18,00	20,05	20,0
18,00	20,40	20,0
18,00	20,51	20,0
18,00	20,65	20,0
18,00	21,10	20,0
18,00	21,13	20,0
18,00	21,13	20,0
18,00	21,30	20,0
18,00	21,30	20,0
18,00	21,47	20,0
18,00	21,60	20,0
18,00	21,63	20,0
18,00	21,67	20,0
18,00	21,67	20,0
18,00	21,72	20,0
18,00	21,73	20,0
18,00	21,80	23,5
18,00	21,83	23,5
18,00	21,87	23,5
18,00	21,87	23,5
18,00	21,97	23,5
18,00	22,02	23,5
18,00	22,06	23,5
18,00	22,07	23,5
18,00	22,15	23,5
18,00	22,20	23,5
18,00	22,27	23,5
18,00	22,27	23,5
18,00	22,33	23,5
18,00	22,38	23,5
18,00	22,40	23,5
18,00	22,48	23,5
18,00	22,53	23,5
18,00	22,57	23,5
18,00	22,57	23,5
18,00	22,62	23,5
18,00	22,63	23,5
18,00	22,65	23,5
18,00	22,67	23,5
18,00	22,67	23,5
18,00	22,67	23,5
18,00	22,72	23,5
18,00	22,72	23,5
18,00	22,72	23,5
18,00	22,73	23,5
18,00	22,75	23,5
18,00	22,78	23,5
18,00	22,80	23,5
18,00	22,80	23,5
18,00	22,83	23,5
18,00	22,85	23,5
18,00	22,88	23,5
18,00	22,97	23,5
18,00	22,98	23,5
18,00	23,05	23,5
18,00	23,06	23,5
18,00	23,08	23,5
18,00	23,13	23,5
18,00	23,18	23,5
18,00	23,28	23,5
18,00	23,30	23,5
18,00	23,32	23,5
18,00	23,35	23,5
18,00	23,37	23,5
18,00	23,38	23,5
18,00	23,40	23,5
18,00	23,40	23,5
18,00	23,47	23,5
18,00	23,48	23,5
18,00	23,52	23,5
18,00	23,52	23,5
18,00	23,57	23,5
18,00	23,57	23,5
18,00	23,58	23,5
18,00	23,58	23,5
18,00	23,63	23,5
18,00	23,64	23,5
18,00	23,68	23,5
18,00	23,68	23,5
18,00	23,73	23,5
18,00	23,73	23,5
18,00	23,75	23,5
18,00	23,77	23,5
18,00	23,77	23,5
18,00	23,80	23,5
18,00	23,83	23,5
18,00	23,83	23,5
18,00	23,95	23,5
18,00	23,97	23,5
18,00	23,97	23,5
18,00	24,02	23,5
18,00	24,02	23,5
18,00	24,22	23,5
18,00	24,33	23,5
18,00	24,43	23,5
18,00	24,50	23,5
18,00	24,53	23,5
18,00	24,62	23,5
18,00	25,27	27,0
18,00	25,87	27,0
18,00	25,93	27,0
18,00	25,93	27,0
18,00	26,33	27,0
25,00	23,97	24,7
25,00	24,05	24,7
25,00	24,57	24,7
25,00	24,68	24,7
25,00	24,76	24,7
25,00	25,20	24,7
25,00	25,25	24,7
25,00	25,28	24,7
25,00	25,30	24,7
25,00	25,35	24,7
25,00	25,52	24,7
25,00	25,62	24,7
25,00	25,72	24,7
25,00	25,72	24,7
25,00	25,82	24,7
25,00	25,90	24,7
25,00	25,90	24,7
25,00	25,96	24,7
25,00	25,97	24,7
25,00	25,98	24,7
25,00	26,03	24,7
25,00	26,08	24,7
25,00	26,17	24,7
25,00	26,18	24,7
25,00	26,22	24,7
25,00	26,27	24,7
25,00	26,36	24,7
25,00	26,36	24,7
25,00	26,45	24,7
25,00	26,46	24,7
25,00	26,51	24,7
25,00	26,52	24,7
25,00	26,57	24,7
25,00	26,62	24,7
25,00	26,67	24,7
25,00	26,70	24,7
25,00	26,75	24,7
25,00	26,78	24,7
25,00	26,83	29,0
25,00	26,85	29,0
25,00	26,87	29,0
25,00	26,91	29,0
25,00	26,93	29,0
25,00	26,97	29,0
25,00	27,03	29,0
25,00	27,07	29,0
25,00	27,07	29,0
25,00	27,10	29,0
25,00	27,12	29,0
25,00	27,13	29,0
25,00	27,15	29,0
25,00	27,17	29,0
25,00	27,30	29,0
25,00	27,35	29,0
25,00	27,37	29,0
25,00	27,38	29,0
25,00	27,38	29,0
25,00	27,40	29,0
25,00	27,43	29,0
25,00	27,47	29,0
25,00	27,50	29,0
25,00	27,50	29,0
25,00	27,53	29,0
25,00	27,55	29,0
25,00	27,63	29,0
25,00	27,63	29,0
25,00	27,68	29,0
25,00	27,72	29,0
25,00	27,75	29,0
25,00	27,75	29,0
25,00	27,75	29,0
25,00	27,80	29,0
25,00	27,83	29,0
25,00	27,85	29,0
25,00	27,90	29,0
25,00	27,93	29,0
25,00	27,93	29,0
25,00	28,00	29,0
25,00	28,07	29,0
25,00	28,10	29,0
25,00	28,10	29,0
25,00	28,10	29,0
25,00	28,20	29,0
25,00	28,22	29,0
25,00	28,25	29,0
25,00	28,27	29,0
25,00	28,28	29,0
25,00	28,33	29,0
25,00	28,38	29,0
25,00	28,40	29,0
25,00	28,43	29,0
25,00	28,50	29,0
25,00	28,58	29,0
25,00	28,59	29,0
25,00	28,72	29,0
25,00	28,80	29,0
25,00	28,82	29,0
25,00	28,87	29,0
25,00	28,90	29,0
25,00	28,95	29,0
25,00	28,96	29,0
25,00	28,97	29,0
25,00	28,97	29,0
25,00	28,98	29,0
25,00	29,00	29,0
25,00	29,00	29,0
25,00	29,14	29,0
25,00	29,18	29,0
25,00	29,18	29,0
25,00	29,20	29,0
25,00	29,22	29,0
25,00	29,30	29,0
25,00	29,37	29,0
25,00	29,38	29,0
25,00	29,40	29,0
25,00	29,42	29,0
25,00	29,43	29,0
25,00	29,47	29,0
25,00	29,50	29,0
25,00	29,55	29,0
25,00	29,57	29,0
25,00	29,58	29,0
25,00	29,60	29,0
25,00	29,62	29,0
25,00	29,65	29,0
25,00	29,65	29,0
25,00	29,75	29,0
25,00	29,77	29,0
25,00	29,80	29,0
25,00	29,82	29,0
25,00	29,87	29,0
25,00	29,87	29,0
25,00	29,88	29,0
25,00	29,95	29,0
25,00	29,95	29,0
25,00	29,97	29,0
25,00	30,02	29,0
25,00	30,07	29,0
25,00	30,09	29,0
25,00	30,17	29,0
25,00	30,25	29,0
25,00	30,27	29,0
25,00	30,30	29,0
25,00	30,32	29,0
25,00	30,33	29,0
25,00	30,51	29,0
25,00	30,52	29,0
25,00	30,57	29,0
25,00	30,60	29,0
25,00	30,65	29,0
25,00	30,90	29,0
25,00	30,93	29,0
25,00	30,97	29,0
25,00	31,08	29,0
25,00	31,13	33,3
25,00	31,47	33,3
25,00	31,48	33,3
25,00	31,48	33,3
25,00	31,50	33,3
25,00	31,52	33,3
25,00	31,68	33,3
25,00	31,77	33,3
25,00	32,09	33,3
